id,behavior,states,new_anchor,default_visible,models
acacia_button,generic,48,True,True,bloodborne_blocks:block/addon/crimson_button_0
acacia_fence,generic,128,False,True,bloodborne_blocks:block/acacia_fence_post
acacia_fence_gate,generic,64,True,True,bloodborne_blocks:block/addon/acacia_fence_gate_open_0
acacia_log,pillar,6,True,True,bloodborne_blocks:block/acacia_log
acacia_planks,generic,8,True,True,bloodborne_blocks:block/acacia_planks
acacia_sapling,plant,4,True,True,bloodborne_blocks:block/acacia_sapling
acacia_slab,slab,6,False,True,bloodborne_blocks:block/acacia_slab
acacia_stairs,model_door,320,True,True,bloodborne_blocks:block/aca_door_1
acacia_trapdoor,generic,128,True,True,bloodborne_blocks:block/acacia_trapdoor_bottom
acacia_wood,pillar,6,True,True,bloodborne_blocks:block/acacia_wood
activator_rail,generic,192,True,True,bloodborne_blocks:block/rails/activator_0
amethyst_block,generic,8,True,True,bloodborne_blocks:block/amethyst_block
ancient_debris,generic,8,True,True,bloodborne_blocks:block/ancient_debris
andesite,generic,4,False,True,bloodborne_blocks:block/andesite
andesite_slab,slab,6,False,True,bloodborne_blocks:block/andesite_slab
andesite_stairs,stairs,80,False,True,bloodborne_blocks:block/andesite_stairs
andesite_wall,generic,1296,False,True,bloodborne_blocks:block/bricks/post_black_0
bamboo_trapdoor,trapdoor,64,False,True,bloodborne_blocks:block/bamboo_trapdoor_bottom
beacon,generic,4,False,True,bloodborne_blocks:block/beacon
bell,generic,64,True,True,bloodborne_blocks:block/bell_floor
birch_fence,generic,128,False,True,bloodborne_blocks:block/birch_fence
birch_fence_gate,generic,64,True,True,bloodborne_blocks:block/addon/oak_fence_gate_open_0
birch_log,pillar,6,True,True,bloodborne_blocks:block/birch_log
birch_planks,generic,8,True,True,bloodborne_blocks:block/birch_planks
birch_slab,slab,6,False,True,bloodborne_blocks:block/birch_slab
birch_stairs,model_door,320,True,True,bloodborne_blocks:block/bir_door_1
birch_trapdoor,generic,128,True,True,bloodborne_blocks:block/birch_trapdoor_bottom
birch_wood,pillar,6,True,True,bloodborne_blocks:block/birch_wood
black_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/black_glazed_terracotta
black_stained_glass,generic,8,True,True,bloodborne_blocks:block/black_stained_glass
black_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/black_stained_glass_pane_post | bloodborne_blocks:block/black_stained_glass_pane_noside | bloodborne_blocks:block/black_stained_glass_pane_noside_alt | bloodborne_blocks:block/black_stained_glass_pane_noside_alt | bloodborne_blocks:block/black_stained_glass_pane_noside
black_terracotta,generic,8,True,True,bloodborne_blocks:block/black_terracotta
blackstone,generic,8,True,True,bloodborne_blocks:block/blackstone
blackstone_slab,slab,6,False,True,bloodborne_blocks:block/blackstone_slab
blackstone_stairs,generic,160,True,True,bloodborne_blocks:block/hold/window_02
blackstone_wall,generic,1296,False,True,bloodborne_blocks:block/blackstone_wall_1
blue_concrete,generic,8,True,True,bloodborne_blocks:block/blue_concrete
blue_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/blue_glazed_terracotta_0
blue_stained_glass,generic,4,False,True,bloodborne_blocks:block/blue_stained_glass
blue_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/blue_stained_glass_pane_post | bloodborne_blocks:block/blue_stained_glass_pane_noside | bloodborne_blocks:block/blue_stained_glass_pane_noside_alt | bloodborne_blocks:block/blue_stained_glass_pane_noside_alt | bloodborne_blocks:block/blue_stained_glass_pane_noside
blue_terracotta,generic,8,True,True,bloodborne_blocks:block/blue_terracotta
bone_block,pillar,6,True,True,bloodborne_blocks:block/addon/note_2
brick_slab,slab,6,False,True,bloodborne_blocks:block/brick_slab
brick_stairs,stairs,80,False,True,bloodborne_blocks:block/brick_stairs
brick_wall,generic,1296,False,True,bloodborne_blocks:block/brick_wall_post
bricks,generic,4,False,True,bloodborne_blocks:block/bricks
brown_concrete,generic,8,True,True,bloodborne_blocks:block/brown_concrete
brown_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/brown_glazed_terracotta
brown_stained_glass,generic,4,False,True,bloodborne_blocks:block/brown_stained_glass
brown_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/brown_stained_glass_pane_post | bloodborne_blocks:block/brown_stained_glass_pane_noside | bloodborne_blocks:block/brown_stained_glass_pane_noside_alt | bloodborne_blocks:block/brown_stained_glass_pane_noside_alt | bloodborne_blocks:block/brown_stained_glass_pane_noside
brown_terracotta,generic,8,True,True,bloodborne_blocks:block/brown_terracotta
calcite,generic,4,False,True,bloodborne_blocks:block/calcite
chain,pillar,12,True,True,bloodborne_blocks:block/addon/chain_0
cherry_trapdoor,trapdoor,64,False,True,bloodborne_blocks:block/cherry_trapdoor_bottom
chiseled_deepslate,generic,8,True,True,bloodborne_blocks:block/chiseled_deepslate
chiseled_nether_bricks,generic,8,True,True,bloodborne_blocks:block/chiseled_nether_bricks
chiseled_polished_blackstone,generic,8,True,True,bloodborne_blocks:block/chiseled_polished_blackstone
chiseled_quartz_block,generic,8,True,True,bloodborne_blocks:block/chiseled_quartz_block
chiseled_red_sandstone,generic,8,True,True,bloodborne_blocks:block/chiseled_red_sandstone
chiseled_sandstone,generic,8,True,True,bloodborne_blocks:block/chiseled_sandstone
coal_block,generic,8,True,True,bloodborne_blocks:block/coal_block
coal_ore,generic,8,True,True,bloodborne_blocks:block/coal_ore
coarse_dirt,generic,4,False,True,bloodborne_blocks:block/coarse_dirt
cobbled_deepslate,generic,4,False,True,bloodborne_blocks:block/cobbled_deepslate
cobbled_deepslate_slab,slab,6,False,True,bloodborne_blocks:block/cobbled_deepslate_slab
cobbled_deepslate_stairs,stairs,80,False,True,bloodborne_blocks:block/cobbled_deepslate_stairs
cobbled_deepslate_wall,generic,1296,False,True,bloodborne_blocks:block/cobbled_deepslate_wall_post
cobblestone,generic,4,False,True,bloodborne_blocks:block/cobblestone
cobblestone_slab,slab,6,False,True,bloodborne_blocks:block/cobblestone_slab
cobblestone_stairs,stairs,80,False,True,bloodborne_blocks:block/cobblestone_stairs
cobblestone_wall,generic,1296,False,True,bloodborne_blocks:block/cobblestone_wall_post
cobweb,generic,8,True,True,bloodborne_blocks:block/cobweb
copper_block,generic,8,True,True,bloodborne_blocks:block/copper_block
copper_ore,generic,4,False,True,bloodborne_blocks:block/copper_ore
cracked_deepslate_bricks,generic,8,True,True,bloodborne_blocks:block/cracked_deepslate_bricks
cracked_deepslate_tiles,generic,4,False,True,bloodborne_blocks:block/cracked_deepslate_tiles
cracked_nether_bricks,generic,8,True,True,bloodborne_blocks:block/cracked_nether_bricks
cracked_polished_blackstone_bricks,generic,8,True,True,bloodborne_blocks:block/cracked_polished_blackstone_bricks
crimson_button,generic,48,True,True,bloodborne_blocks:block/addon/crimson_button_0
crimson_door,generic,128,True,False,bloodborne_blocks:block/addon/oak_door_2
crimson_fence,generic,128,False,True,bloodborne_blocks:block/crimson_fence_post
crimson_fence_gate,generic,64,True,True,bloodborne_blocks:block/addon/crimson_fence_gate_open
crimson_hyphae,pillar,6,True,True,bloodborne_blocks:block/addon/floor_dec_7
crimson_planks,generic,8,True,True,bloodborne_blocks:block/crimson_planks
crimson_slab,slab,6,False,True,bloodborne_blocks:block/crimson_slab
crimson_stairs,generic,160,True,True,bloodborne_blocks:block/crimson_bottom
crimson_stem,pillar,6,True,True,bloodborne_blocks:block/addon/floor_panels_10
crimson_trapdoor,generic,128,True,True,bloodborne_blocks:block/crimson_trapdoor_bottom
