x	y	z	transaction	owners
-623	14	-309	historical-owner-44d221b5a2aea6bca180	[{"root":[-623,14,-309],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-623,14,-309],"target":"bloodborne_blocks:owner_e93cd637a02a2c72372c","isRoot":true},{"root":[-623,14,-308],"target":"bloodborne_blocks:owner_09a6e077b75a9038f392","isRoot":false},{"root":[-622,14,-308],"target":"bloodborne_blocks:owner_1de54f9e8093056aaa1b","isRoot":false}]
-559	98	5	historical-owner-a69a87c3f28e92e4d76e	[{"root":[-559,98,5],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-559,98,4],"target":"bloodborne_blocks:owner_b3420a0e4506663c1e59","isRoot":false},{"root":[-559,98,5],"target":"bloodborne_blocks:owner_b3420a0e4506663c1e59","isRoot":true},{"root":[-559,98,6],"target":"bloodborne_blocks:owner_8fea137f60f6b802a87f","isRoot":false}]
-539	29	-50	historical-owner-d5f87e3aea1b681b33f8	[{"root":[-539,29,-50],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-539,29,-50],"target":"bloodborne_blocks:owner_bf8ffa957da29257928f","isRoot":true},{"root":[-539,29,-49],"target":"bloodborne_blocks:owner_e8a578b883b273c23c10","isRoot":false}]
-539	29	-49	historical-owner-d5f87e3aea1b681b33f8	[{"root":[-539,29,-49],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-539,29,-49],"target":"bloodborne_blocks:owner_e8a578b883b273c23c10","isRoot":true},{"root":[-538,29,-48],"target":"bloodborne_blocks:owner_9ac48818f8e6becde548","isRoot":false}]
-515	57	-29	historical-owner-f2b624e5b2db01465a08	[{"root":[-515,57,-29],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-515,57,-30],"target":"bloodborne_blocks:owner_4ca2cfd91c50b387d312","isRoot":false},{"root":[-515,57,-29],"target":"bloodborne_blocks:owner_7995b1c8c5cc537f41cf","isRoot":true}]
-515	57	-21	historical-owner-a3bdc6e4ee233cbcaaad	[{"root":[-515,57,-21],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-515,57,-21],"target":"bloodborne_blocks:owner_7995b1c8c5cc537f41cf","isRoot":true},{"root":[-515,57,-20],"target":"bloodborne_blocks:owner_4ca2cfd91c50b387d312","isRoot":false}]
-506	55	-2	historical-owner-ec46863cc89b95ba468f	[{"root":[-506,55,-2],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-506,55,-3],"target":"bloodborne_blocks:owner_e8a578b883b273c23c10","isRoot":false},{"root":[-506,55,-2],"target":"bloodborne_blocks:owner_a33ff0637e01d6a88e9f","isRoot":true}]
-506	55	4	historical-owner-cb1d50f778e8b13a7e15	[{"root":[-506,55,4],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-506,55,4],"target":"bloodborne_blocks:owner_a33ff0637e01d6a88e9f","isRoot":true}]
-508	55	4	historical-owner-c840a562fd9bad0c379d	[{"root":[-508,55,4],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-508,55,4],"target":"bloodborne_blocks:owner_5b9a0150f69992654403","isRoot":true}]
-507	55	4	historical-owner-18ce4595146e561fc4d1	[{"root":[-507,55,4],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-507,55,4],"target":"bloodborne_blocks:owner_5b9a0150f69992654403","isRoot":true}]
-504	57	-29	historical-owner-075693bcce7655ffe1c7	[{"root":[-504,57,-29],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-504,57,-29],"target":"bloodborne_blocks:owner_e665546c2f78f5ca9eca","isRoot":true}]
-504	57	-21	historical-owner-96c0be0d1a0afef65694	[{"root":[-504,57,-21],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-504,57,-21],"target":"bloodborne_blocks:owner_e665546c2f78f5ca9eca","isRoot":true}]
-472	112	38	historical-owner-1629f59e419087562e4b	[{"root":[-472,112,38],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-472,112,38],"target":"bloodborne_blocks:owner_e19c9f27e23fc5857dde","isRoot":true}]
-460	125	47	historical-owner-2ec6d2b8cbe6442d6dd1	[{"root":[-460,125,47],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-460,125,47],"target":"bloodborne_blocks:owner_0ce4ec15ee4493f01334","isRoot":true}]
-459	125	48	historical-owner-2ec6d2b8cbe6442d6dd1	[{"root":[-459,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-459,124,49],"target":"bloodborne_blocks:owner_66b27973889112e263c7","isRoot":false},{"root":[-459,125,48],"target":"bloodborne_blocks:owner_e32b4f6030bd92b13f99","isRoot":true}]
-460	125	45	historical-owner-db442767bba4bf1b1b78	[{"root":[-460,125,45],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-460,125,45],"target":"bloodborne_blocks:owner_19ded9fb7b796191a7c3","isRoot":true}]
-459	125	44	historical-owner-db442767bba4bf1b1b78	[{"root":[-459,125,44],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-459,125,44],"target":"bloodborne_blocks:owner_59afd1ca3d3c0e213be7","isRoot":true}]
-460	125	46	historical-owner-8c417ba25073d8a0fe7e	[{"root":[-460,125,46],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-460,125,46],"target":"bloodborne_blocks:owner_af856f9cace5bd4e8fe0","isRoot":true}]
-459	125	45	historical-owner-8de243685415500d241d	[{"root":[-459,125,45],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-459,125,45],"target":"bloodborne_blocks:owner_57a9f2a3d45374dd2255","isRoot":true}]
-459	125	47	historical-owner-22c652f954399b4b5eb6	[{"root":[-459,125,47],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-459,125,47],"target":"bloodborne_blocks:owner_57a9f2a3d45374dd2255","isRoot":true}]
