rule	x	y	z	category	source_roots
127	-730	-32	-71	insufficient evidence	[[-730,-31,-71]]
105	-713	35	-74	insufficient evidence	[[-713,36,-74]]
105	-712	35	-74	insufficient evidence	[[-712,36,-74]]
105	-710	35	-74	insufficient evidence	[[-710,36,-74]]
105	-709	35	-74	insufficient evidence	[[-709,36,-74]]
209	-697	40	-246	insufficient evidence	[[-697,40,-246]]
151	-692	71	-128	insufficient evidence	[[-692,71,-128]]
159	-692	71	-120	insufficient evidence	[[-692,71,-120]]
209	-704	40	-109	insufficient evidence	[[-704,40,-109]]
127	-696	-32	-71	insufficient evidence	[[-696,-31,-71]]
205	-679	44	-262	insufficient evidence	[[-679,44,-262]]
209	-679	44	-260	insufficient evidence	[[-679,44,-260]]
151	-674	58	-266	insufficient evidence	[[-674,58,-266]]
151	-685	71	-265	insufficient evidence	[[-685,71,-265]]
159	-685	71	-257	insufficient evidence	[[-685,71,-257]]
207	-677	49	-255	insufficient evidence	[[-677,49,-255]]
159	-674	58	-256	insufficient evidence	[[-674,58,-256]]
151	-681	58	-129	insufficient evidence	[[-681,58,-129]]
201	-686	43	-125	insufficient evidence	[[-686,43,-125]]
217	-686	44	-125	insufficient evidence	[[-686,44,-125]]
225	-686	44	-123	insufficient evidence	[[-686,44,-123]]
207	-684	49	-118	insufficient evidence	[[-684,49,-118]]
207	-678	49	-118	insufficient evidence	[[-678,49,-118]]
159	-681	58	-119	insufficient evidence	[[-681,58,-119]]
209	-659	40	-317	insufficient evidence	[[-659,40,-317]]
31	-663	23	-277	insufficient evidence	[[-663,23,-277]]
151	-664	58	-266	insufficient evidence	[[-664,58,-266]]
207	-671	49	-255	insufficient evidence	[[-671,49,-255]]
159	-664	58	-256	insufficient evidence	[[-664,58,-256]]
110	-666	35	-141	insufficient evidence	[[-666,36,-141]]
110	-665	35	-141	insufficient evidence	[[-665,36,-141]]
110	-664	35	-141	insufficient evidence	[[-664,36,-141]]
110	-662	35	-141	insufficient evidence	[[-662,36,-141]]
110	-659	35	-141	insufficient evidence	[[-659,36,-141]]
110	-658	35	-141	insufficient evidence	[[-658,36,-141]]
151	-671	58	-129	insufficient evidence	[[-671,58,-129]]
159	-671	58	-119	insufficient evidence	[[-671,58,-119]]
37	-660	35	-92	insufficient evidence	[[-660,36,-92],[-660,39,-92],[-660,42,-92],[-660,45,-92],[-663,39,-92],[-663,42,-92],[-663,45,-92],[-657,39,-92],[-657,42,-92],[-657,45,-92],[-660,39,-95],[-660,42,-95],[-660,45,-95],[-660,39,-89],[-660,42,-89],[-660,45,-89]]
110	-648	15	-301	insufficient evidence	[[-648,16,-301]]
202	-649	15	-300	insufficient evidence	[[-649,15,-300]]
217	-655	15	-300	insufficient evidence	[[-655,15,-300]]
202	-649	17	-300	insufficient evidence	[[-649,17,-300]]
217	-655	17	-300	insufficient evidence	[[-655,17,-300]]
52	-648	19	-301	insufficient evidence	[[-648,20,-301]]
55	-656	19	-301	insufficient evidence	[[-656,20,-301]]
202	-649	19	-300	insufficient evidence	[[-649,19,-300]]
217	-655	19	-300	insufficient evidence	[[-655,19,-300]]
105	-648	15	-285	insufficient evidence	[[-648,16,-285]]
202	-649	15	-286	insufficient evidence	[[-649,15,-286]]
217	-655	15	-286	insufficient evidence	[[-655,15,-286]]
202	-649	17	-286	insufficient evidence	[[-649,17,-286]]
217	-655	17	-286	insufficient evidence	[[-655,17,-286]]
52	-648	19	-285	insufficient evidence	[[-648,20,-285]]
55	-656	19	-285	insufficient evidence	[[-656,20,-285]]
202	-649	19	-286	insufficient evidence	[[-649,19,-286]]
217	-655	19	-286	insufficient evidence	[[-655,19,-286]]
130	-644	-32	-144	insufficient evidence	[[-644,-31,-144]]
130	-641	-32	-144	insufficient evidence	[[-641,-31,-144]]
110	-656	35	-141	insufficient evidence	[[-656,36,-141]]
110	-655	35	-141	insufficient evidence	[[-655,36,-141]]
127	-652	-32	-51	insufficient evidence	[[-652,-31,-51]]
127	-650	-32	-51	insufficient evidence	[[-650,-31,-51]]
30	-644	83	-25	historical omission with proven current owner	[[-644,83,-25]]
33	-646	83	15	insufficient evidence	[[-646,84,15],[-646,87,15],[-646,90,15],[-646,93,15],[-649,87,15],[-649,90,15],[-649,93,15],[-643,87,15],[-643,90,15],[-643,93,15],[-646,87,12],[-646,90,12],[-646,93,12],[-646,87,18],[-646,90,18],[-646,93,18]]
